bike.id,model,category1,category2,frame,price
1,Supersix Evo Black Inc.,Road,Elite Road,Carbon,12790
2,Supersix Evo Hi-Mod Team,Road,Elite Road,Carbon,10660
3,Supersix Evo Hi-Mod Dura Ace 1,Road,Elite Road,Carbon,7990
4,Supersix Evo Hi-Mod Dura Ace 2,Road,Elite Road,Carbon,5330
5,Supersix Evo Hi-Mod Utegra,Road,Elite Road,Carbon,4260
6,Supersix Evo Red,Road,Elite Road,Carbon,3940
7,Supersix Evo Ultegra 3,Road,Elite Road,Carbon,3200
8,Supersix Evo Ultegra 4,Road,Elite Road,Carbon,2660
9,Supersix Evo 105,Road,Elite Road,Carbon,2240
10,Supersix Evo Tiagra,Road,Elite Road,Carbon,1840
11,CAAD12 Black Inc,Road,Elite Road,Aluminum,5860
12,CAAD12 Disc Dura Ace,Road,Elite Road,Aluminum,4260
13,CAAD12 Red,Road,Elite Road,Aluminum,3200
14,CAAD Disc Ultegra,Road,Elite Road,Aluminum,2660
15,CAAD12 Ultegra,Road,Elite Road,Aluminum,2240
16,CAAD12 Disc 105,Road,Elite Road,Aluminum,1950
17,CAAD12 105,Road,Elite Road,Aluminum,1680
18,CAAD8 105,Road,Elite Road,Aluminum,1410
19,CAAD8 Tiagra,Road,Elite Road,Aluminum,1250
20,CAAD8 Sora,Road,Elite Road,Aluminum,1030
21,CAAD8 Claris,Road,Elite Road,Aluminum,815
22,Synapse Hi-Mod Disc Black Inc.,Road,Endurance Road,Carbon,9590
23,Synapse Hi-Mod Disc Red,Road,Endurance Road,Carbon,7460
24,Synapse Hi-Mod Dura Ace,Road,Endurance Road,Carbon,5860
25,Synapse Hi-Mod Disc Ultegra,Road,Endurance Road,Carbon,5330
26,Synapse Carbon Disc Ultegra D12,Road,Endurance Road,Carbon,4800
27,Synapse Carbon Disc Ultegra,Road,Endurance Road,Carbon,3730
28,Synapse Carbon Ultegra 3,Road,Endurance Road,Carbon,3200
29,Synapse Carbon Ultegra 4,Road,Endurance Road,Carbon,2660
30,Synapse Carbon Disc 105,Road,Endurance Road,Carbon,2660
31,Synapse Carbon 105,Road,Endurance Road,Carbon,2240
32,Syapse Carbon Tiagra,Road,Endurance Road,Carbon,1840
33,Synapse Disc Adventure,Road,Endurance Road,Aluminum,2130
34,Synapse Disc 105,Road,Endurance Road,Aluminum,1570
35,Synapse Disc Tiagra,Road,Endurance Road,Aluminum,1250
36,Synapse Sora,Road,Endurance Road,Aluminum,1030
37,Synapse Claris,Road,Endurance Road,Aluminum,870
38,Slice Hi-Mod Black Inc.,Road,Triathalon,Carbon,7000
39,Slice Hi-Mod Dura Ace D12,Road,Triathalon,Carbon,4500
40,Slice Ultegra D12,Road,Triathalon,Carbon,3200
41,Slice Ultegra,Road,Triathalon,Carbon,2700
42,Slice 105,Road,Triathalon,Carbon,1950
43,SuperX Hi-Mod CX1,Road,Cyclocross,Carbon,3500
44,SuperX Ultegra,Road,Cyclocross,Carbon,2450
45,SuperX 105,Road,Cyclocross,Carbon,1960
46,SuperX Rival CX1,Road,Cyclocross,Carbon,1750
47,Jekyll Carbon 1,Mountain,Over Mountain,Carbon,7990
48,Jekyll Carbon 2,Mountain,Over Mountain,Carbon,6070
49,Jekyll Carbon 3,Mountain,Over Mountain,Carbon,3840
50,Jekyll Carbon 4,Mountain,Over Mountain,Carbon,3200
51,Trigger Carbon 1,Mountain,Over Mountain,Carbon,8200
52,Trigger Carbon 2,Mountain,Over Mountain,Carbon,5970
53,Trigger Carbon 3,Mountain,Over Mountain,Carbon,3730
54,Trigger Carbon 4,Mountain,Over Mountain,Carbon,3200
55,Scalpel-Si Black Inc.,Mountain,Cross Country Race,Carbon,12790
56,Scalpel-Si Race,Mountain,Cross Country Race,Carbon,9060
57,Scalpel-Si Hi-Mod 1,Mountain,Cross Country Race,Carbon,7460
58,Scalpel-Si Carbon 2,Mountain,Cross Country Race,Carbon,6390
59,Scalpel-Si Carbon 3,Mountain,Cross Country Race,Carbon,5330
