,model,category1,category2,frame,price
49,Scalpel-Si Carbon 3,Mountain,Cross Country Race,Carbon,5330
41,Jekyll Carbon 4,Mountain,Over Mountain,Carbon,3200
45,Scalpel 29 Carbon Race,Mountain,Cross Country Race,Carbon,6390
95,Trigger Carbon 3,Mountain,Over Mountain,Carbon,3730
34,Habit Carbon 2,Mountain,Trail,Carbon,5330
96,Trigger Carbon 4,Mountain,Over Mountain,Carbon,3200
19,Catalyst 4,Mountain,Sport,Aluminum,415
39,Jekyll Carbon 2,Mountain,Over Mountain,Carbon,6070
65,Supersix Evo Hi-Mod Dura Ace 2,Road,Elite Road,Carbon,5330
94,Trigger Carbon 2,Mountain,Over Mountain,Carbon,5970
